,NOMBREDD,NOMBREPV,NOMBREDI,CONGLOMERADO,NSELUA,UA,percentSoldProduction,percentFarmGateIncomes,percentPlantedArea,districtTimeToLimaMarket,districtTimeToProvinceCapitalOfRegion,provinceCapitalToLimaMarket,informalPriceInformation,formalPriceInformation,informalMetereologicalInformation,formalMetereologicalInformation,volumeOfDistrict,soldProduction,yield,associative,pointsOfSale,marketSize,simplifiedMarketChannelDirectedness,farmGatePricePerKg
624,CAJAMARCA,CAJABAMBA,CAJABAMBA,5017,20,3,0.5481023830538394,0.516,0.3727810650887574,1.33,0.27799999999999997,1.47,1,0,0,0,0.000989,0.00621,0.18253968253968253,0.0,0.0,1,2,1.6521739130434785
625,CAJAMARCA,CAJABAMBA,CAJABAMBA,5017,34,5,1.0,1.0,0.41860465116279066,1.33,0.27799999999999997,1.47,0,0,0,0,0.000989,0.00345,0.6388888888888891,0.0,0.0,1,2,0.8695652173913043
626,CAJAMARCA,CAJABAMBA,CONDEBAMBA,4946,44,5,0.9736842105263158,0.9487179487179488,0.9433962264150944,1.4300000000000002,0.27,1.47,1,0,0,0,0.000851,0.00851,0.000276,0.0,0.0,1,2,1.3043478260869563
627,CAJAMARCA,CAJAMARCA,ENCAÑADA,4051,106,13,1.0,1.0,0.4310344827586207,1.4300000000000002,0.075,1.47,0,0,0,0,0.00025,0.0025,0.75,0.0,0.3,1,2,0.3
628,CAJAMARCA,CAJAMARCA,LLACANORA,4223,40,4,0.9848866498740554,0.9783770451368906,0.8673026886383349,1.3699999999999999,0.038,1.47,0,0,0,0,0.024931,0.1955,2.346,0.0,0.0,1,2,0.6086956521739131
629,CAJAMARCA,CAJAMARCA,LLACANORA,4223,58,6,0.9097252507631924,0.8808290155440415,0.406871609403255,1.3699999999999999,0.038,1.47,1,0,0,0,0.024931,0.02086,0.7842222222222222,0.0,0.0,1,2,1.1342391304347823
630,CAJAMARCA,CAJAMARCA,LLACANORA,4223,76,8,0.7685269899359561,0.7012987012987013,0.2857142857142857,1.3699999999999999,0.038,1.47,1,0,0,0,0.024931,0.0042,0.525,0.0,0.0,1,2,1.2857142857142858
631,CAJAMARCA,CAJAMARCA,LLACANORA,4223,90,9,0.2465166130760986,0.2422145328719723,0.15337423312883436,1.3699999999999999,0.038,1.47,1,0,0,0,0.024931,0.0115,0.9982,0.0,0.0,1,2,1.2173913043478262
632,CAJAMARCA,CAJAMARCA,LLACANORA,4223,100,10,1.0,1.0,1.0,1.3699999999999999,0.038,1.47,1,0,0,0,0.024931,0.00115,0.7666666666666668,0.0,0.0,1,2,0.5217391304347826
633,CAJAMARCA,CAJAMARCA,LLACANORA,4223,113,12,0.8695652173913043,0.7,0.23076923076923075,1.3699999999999999,0.038,1.47,1,0,0,0,0.024931,0.0092,1.0733333333333335,0.0,0.0,1,2,0.6086956521739131
634,CAJAMARCA,CAJAMARCA,LLACANORA,4223,128,14,0.17653831393117564,0.10270455323519342,0.13020833333333334,1.3699999999999999,0.038,1.47,1,0,0,0,0.024931,0.0069,0.3726,0.0,0.0,1,2,0.43478260869565216
635,CAJAMARCA,CAJAMARCA,LOS BAÑOS DEL INCA,3975,166,13,1.0,1.0,0.5555555555555556,1.3699999999999999,0.023,1.47,0,0,0,0,0.0002,0.002,1.0,0.0,0.0,1,2,1.6
636,CAJAMARCA,CELENDIN,SOROCHUCO,4523,5,2,0.14626391096979333,0.074487895716946,0.1,1.6,0.233,1.47,0,0,0,0,0.0071495,0.00046,1.265,0.0,0.05,1,2,0.8695652173913043
637,CAJAMARCA,CELENDIN,SOROCHUCO,4523,30,6,0.8465763028745035,0.8222313036371066,0.32664756446991405,1.6,0.233,1.47,0,0,0,0,0.0071495,0.05796,1.2912280701754388,0.0,0.05,1,1,3.0434782608695654
638,CAJAMARCA,CELENDIN,SOROCHUCO,4523,43,9,0.6666666666666666,0.398936170212766,0.5,1.6,0.233,1.47,0,0,0,0,0.0071495,0.000575,2.8749999999999997e-05,0.0,0.05,1,2,1.3043478260869563
639,CAJAMARCA,CELENDIN,SOROCHUCO,4566,14,2,1.0,1.0,0.5841121495327102,1.6,0.233,1.47,1,0,0,0,0.0071495,0.01,0.8,0.0,0.05,2,1,0.8
640,CAJAMARCA,CELENDIN,SOROCHUCO,4566,139,14,0.8787346221441125,0.8064516129032258,0.2222222222222222,1.6,0.233,1.47,0,0,0,0,0.0071495,0.0025,2.0,0.0,0.05,2,1,0.6
641,CAJAMARCA,CHOTA,CHALAMARCA,3026,18,4,1.0,1.0,0.6557377049180327,1.7,0.442,1.47,1,0,0,0,0.0043,0.007,0.75,0.0,0.09,1,2,1.0
642,CAJAMARCA,CHOTA,CHIGUIRIP,2918,9,2,0.9803921568627452,0.9764705882352941,0.5555555555555556,1.69,0.45999999999999996,1.47,1,0,0,0,0.02127,0.05,2.28,1.0,0.0,2,1,1.65
643,CAJAMARCA,CHOTA,CHIGUIRIP,2918,91,14,1.0,1.0,0.6329113924050632,1.69,0.45999999999999996,1.47,1,0,0,0,0.02127,0.0368,0.88,0.0,0.0,2,1,4.125
644,CAJAMARCA,CHOTA,CHOTA,2756,63,7,1.0,1.0,0.819672131147541,1.59,0.337,1.47,1,0,0,0,0.0104,0.04,8e-05,0.0,0.42,1,2,0.4
