,NOMBREDD,NOMBREPV,NOMBREDI,CONGLOMERADO,NSELUA,UA,percentSoldProduction,percentFarmGateIncomes,percentPlantedArea,districtTimeToLimaMarket,districtTimeToProvinceCapitalOfRegion,provinceCapitalToLimaMarket,informalPriceInformation,formalPriceInformation,informalMetereologicalInformation,formalMetereologicalInformation,volumeOfDistrict,soldProduction,yield,associative,pointsOfSale,marketSize,marketChannelDirectedness,farmGatePricePerKg
44,ANCASH,CARHUAZ,SAN MIGUEL DE ACO,9130,4,2,0.2857142857142857,0.2857142857142857,0.3548387096774194,0.82,0.14,0.6769999999999999,0,0,0,0,0.0024,0.004,7.575757575757576e-05,0.0,0.0,1,4,1.0
45,ANCASH,CARHUAZ,SAN MIGUEL DE ACO,9132,11,2,0.9009009009009008,0.7525870178739417,0.4719101123595506,0.82,0.14,0.6769999999999999,1,1,0,0,0.0024,0.02,8.57142857142857e-05,0.0,0.0,1,2,0.8
46,ANCASH,CARHUAZ,SHILLA,9013,22,3,1.0,1.0,0.6143958868894601,0.7879999999999999,0.107,0.6769999999999999,1,0,0,0,0.002364,0.0122,0.00017573221757322176,0.0,0.0,1,4,2.225
47,ANCASH,CARHUAZ,SHILLA,9013,38,5,1.0,1.0,1.0,0.7879999999999999,0.107,0.6769999999999999,0,0,0,0,0.002364,0.00432,0.00011520000000000001,0.0,0.0,1,4,1.0
48,ANCASH,CARHUAZ,SHILLA,9026,41,6,0.4046242774566474,0.3250773993808049,0.3863636363636364,0.7879999999999999,0.107,0.6769999999999999,0,0,0,0,0.002364,0.0014,8.235294117647058e-05,0.0,0.0,1,4,0.75
49,ANCASH,CARHUAZ,SHILLA,9026,77,9,0.4098360655737705,0.48,0.30245746691871456,0.7879999999999999,0.107,0.6769999999999999,1,0,0,0,0.002364,0.005,0.00015625,0.0,0.0,1,4,1.44
50,ANCASH,CARHUAZ,SHILLA,9026,97,12,0.18181818181818185,0.14400000000000002,0.2,0.7879999999999999,0.107,0.6769999999999999,1,0,0,0,0.002364,0.00072,0.000144,0.0,0.0,1,4,1.5
51,ANCASH,CARHUAZ,TINCO,8982,16,3,0.014150943396226415,0.018633540372670808,0.625,0.7969999999999999,0.117,0.6769999999999999,0,0,0,0,0.0003,0.003,9.4e-05,0.0,0.0,1,4,1.5
52,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS,9173,88,12,0.6781789638932496,0.8076923076923077,0.2702702702702703,1.01,0.348,0.6769999999999999,0,0,0,0,0.00072,0.00648,0.0001296,0.0,0.0,1,4,0.9722222222222222
53,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS,9181,17,3,0.2487046632124353,0.29850746268656714,0.625,1.01,0.348,0.6769999999999999,0,0,0,0,0.00072,0.00072,7.2e-05,0.0,0.0,1,4,0.5555555555555556
