,NOMBREDD,NOMBREPV,NOMBREDI,CONGLOMERADO,NSELUA,UA,percentSoldProduction,percentFarmGateIncomes,percentPlantedArea,districtTimeToLimaMarket,districtTimeToProvinceCapitalOfRegion,provinceCapitalToLimaMarket,informalPriceInformation,formalPriceInformation,informalMetereologicalInformation,formalMetereologicalInformation,volumeOfDistrict,soldProduction,yield,associative,pointsOfSale,marketSize,marketChannelDirectedness,farmGatePricePerKg
98,HUANCAVELICA,TAYACAJA,COLCABAMBA,12947,80,10,0.9202453987730062,0.9486166007905138,0.9090909090909092,0.8300000000000001,0.4,0.602,0,0,0,0,0.26055,0.06,0.00012,0.0,0.02,2,2,0.8
99,HUANCAVELICA,TAYACAJA,COLCABAMBA,12953,64,6,1.0,1.0,1.0,0.8300000000000001,0.4,0.602,0,0,0,0,0.26055,0.065,0.00016666666666666666,0.0,0.02,2,2,1.5
100,HUANCAVELICA,TAYACAJA,COLCABAMBA,12972,46,5,0.966183574879227,0.9195402298850576,0.7674418604651163,0.8300000000000001,0.4,0.602,0,0,0,0,0.26055,0.08,0.7818181818181819,0.0,0.02,2,2,0.4
101,HUANCAVELICA,TAYACAJA,COLCABAMBA,12972,67,8,0.6067415730337079,0.6029850746268657,0.5320104829651815,0.8300000000000001,0.4,0.602,0,0,0,0,0.26055,0.054000000000000006,0.41871921182266,0.0,0.02,2,2,2.7
102,HUANCAVELICA,TAYACAJA,COLCABAMBA,12972,86,10,0.8710801393728222,0.7692307692307693,0.5,0.8300000000000001,0.4,0.602,0,0,0,0,0.26055,0.05,0.585,0.0,0.02,2,2,0.6
103,HUANCAVELICA,TAYACAJA,COLCABAMBA,12978,5,1,0.4836193447737909,0.3552214098496344,0.4186435947530003,0.8300000000000001,0.4,0.602,1,0,0,0,0.26055,0.062,0.3133333333333333,0.0,0.02,2,2,1.65
104,HUANCAVELICA,TAYACAJA,COLCABAMBA,12978,18,3,0.9489603024574668,0.8051948051948052,0.7667910447761194,0.8300000000000001,0.4,0.602,0,0,0,0,0.26055,0.0502,0.2877128953771289,0.0,0.02,2,2,1.8
105,HUANCAVELICA,TAYACAJA,COLCABAMBA,12978,32,4,1.0,1.0,1.0,0.8300000000000001,0.4,0.602,1,0,0,0,0.26055,0.064,0.368421052631579,0.0,0.02,2,2,1.2
106,HUANCAVELICA,TAYACAJA,COLCABAMBA,12978,84,9,0.2553191489361702,0.25870845393751873,0.3765060240963855,0.8300000000000001,0.4,0.602,1,0,0,0,0.26055,0.07200000000000001,0.36,0.0,0.02,2,2,0.72
107,HUANCAVELICA,TAYACAJA,COLCABAMBA,12978,108,11,0.7300163132137031,0.5762255762255762,0.5465454545454546,0.8300000000000001,0.4,0.602,1,0,0,0,0.26055,0.0895,0.3559547571523619,0.0,0.02,2,2,2.08
108,HUANCAVELICA,TAYACAJA,COLCABAMBA,12978,111,12,0.8250863060989643,0.7901943462897526,0.6500607533414339,0.8300000000000001,0.4,0.602,1,0,0,0,0.26055,0.0717,0.4112149532710279,0.0,0.02,2,2,1.1252109704641349
109,HUANCAVELICA,TAYACAJA,DANIEL HERNANDEZ,12982,69,7,0.4939271255060729,0.3893129770992366,0.1973684210526316,0.727,0.303,0.602,0,0,0,0,0.022359999999999998,0.0976,1.3866666666666665,0.0,0.0,2,2,0.7
110,HUANUCO,AMBO,SAN FRANCISCO,10382,45,7,0.8859470468431772,0.8717948717948718,0.2590290112492599,0.762,0.193,0.82,1,0,0,0,0.0099,0.087,0.4114285714285715,0.0,0.0,1,1,1.1666666666666667
111,HUANUCO,AMBO,TOMAY KICHWA,10343,13,1,0.9028268551236748,0.840153452685422,0.501002004008016,0.8800000000000001,0.13699999999999998,0.82,1,0,0,0,0.02071,0.0511,2.24,0.0,0.0,3,3,1.2857142857142858
112,HUANUCO,AMBO,TOMAY KICHWA,10343,37,3,0.4273504273504273,0.26680896478121663,0.2222222222222222,0.8800000000000001,0.13699999999999998,0.82,1,0,0,0,0.02071,0.075,1.2,0.0,0.0,3,3,0.6666666666666666
113,HUANUCO,DOS DE MAYO,SILLAPATA,10210,55,6,0.5109489051094891,0.4929577464788733,0.4,0.8320000000000001,0.47700000000000004,0.82,0,0,0,0,0.006999999999999999,0.07,1.05,0.0,0.0,3,3,1.0
114,HUANUCO,HUAMALIES,LLATA,9727,36,6,0.7157894736842105,0.6213991769547325,0.4615384615384616,0.877,0.4320000000000001,0.82,1,0,0,0,0.08241,0.0544,0.4,0.0,0.12,2,2,1.125
115,HUANUCO,HUAMALIES,LLATA,9737,95,9,0.4444444444444444,0.35897435897435903,0.5,0.877,0.4320000000000001,0.82,1,0,0,0,0.08241,0.055999999999999994,1.015,0.0,0.12,2,2,0.5
116,HUANUCO,HUANUCO,CHINCHAO,10008,63,7,0.9090909090909092,0.9090909090909092,0.423728813559322,1.01,0.183,0.82,0,0,0,0,0.367135,0.06,2.4,0.0,0.09,3,3,0.5
117,HUANUCO,HUANUCO,CHINCHAO,10020,67,9,0.5416511019798281,0.4610492845786963,0.14814814814814814,1.01,0.183,0.82,1,0,0,0,0.367135,0.057999999999999996,1.72,0.0,0.09,1,2,0.8
118,HUANUCO,HUANUCO,CHINCHAO,10025,5,1,0.8834355828220859,0.8488063660477454,0.4991680532445924,1.01,0.183,0.82,0,0,0,0,0.367135,0.07200000000000001,2.52,0.0,0.09,2,1,0.4444444444444444
119,HUANUCO,HUANUCO,CHURUBAMBA,10037,263,13,1.0,1.0,0.8064516129032259,0.8779999999999999,0.048,0.82,0,0,0,0,0.013609999999999999,0.07200000000000001,4.928,0.0,0.0,1,2,1.25
120,HUANUCO,HUANUCO,MARGOS,10160,100,13,1.0,1.0,0.5333333333333333,0.875,0.183,0.82,0,0,0,0,0.00707,0.052000000000000005,0.00013000000000000002,0.0,0.0,1,2,0.75
121,HUANUCO,HUANUCO,YARUMAYO,10147,118,14,0.5763358778625954,0.32996632996633,0.42105263157894735,0.96,0.15,0.82,1,0,0,0,0.013080000000000001,0.0604,0.245,0.0,0.0,2,2,1.6767857142857143
122,HUANUCO,LAURICOCHA,RONDOS,10301,66,8,0.5474452554744526,0.5447941888619855,0.2608695652173913,0.807,0.368,0.82,0,0,0,0,0.006975,0.06375,2.975,0.0,0.0,1,2,1.0588235294117647
123,HUANUCO,PACHITEA,MOLINO,9954,62,7,0.7153284671532847,0.6660323501427212,0.7142857142857143,0.985,0.158,0.82,1,1,0,0,0.06527999999999999,0.098,2.333333333333333,0.0,0.0,3,3,0.7142857142857143
124,HUANUCO,PACHITEA,MOLINO,9954,107,11,1.0,1.0,1.0,0.985,0.158,0.82,1,0,0,0,0.06527999999999999,0.0791,1.68,0.0,0.0,3,3,1.0
125,HUANUCO,PACHITEA,MOLINO,9954,132,14,0.7636790869419268,0.5820026861662438,0.4863813229571984,0.985,0.158,0.82,1,1,0,0,0.06527999999999999,0.091,0.37799999999999995,0.0,0.0,1,3,0.42857142857142855
126,HUANUCO,PACHITEA,PANAO,9984,21,3,0.8974358974358975,0.8644939965694682,0.6666666666666666,1.0,0.17300000000000001,0.82,1,0,0,0,1.2179799999999998,0.084,0.49,0.0,0.04,1,3,0.6
