,NOMBREDD,NOMBREPV,NOMBREDI,CONGLOMERADO,NSELUA,UA,percentSoldProduction,percentFarmGateIncomes,percentPlantedArea,districtTimeToLimaMarket,districtTimeToProvinceCapitalOfRegion,provinceCapitalToLimaMarket,informalPriceInformation,formalPriceInformation,informalMetereologicalInformation,formalMetereologicalInformation,volumeOfDistrict,soldProduction,yield,associative,pointsOfSale,marketSize,simplifiedMarketChannelDirectedness,farmGatePricePerKg
152,HUANUCO,PACHITEA,PANAO,9972,32,5,0.9661750884928548,0.954163623082542,0.7634753397465261,1.0,0.17300000000000001,0.82,1,1,0,0,1.2179799999999998,0.44,1.04,0.0,0.04,3,1,0.475
153,HUANUCO,PACHITEA,PANAO,9972,56,7,1.0,1.0,1.0,1.0,0.17300000000000001,0.82,1,0,0,0,1.2179799999999998,0.24,0.9493333333333334,0.0,0.04,2,1,0.8125
154,HUANUCO,PACHITEA,PANAO,9972,70,8,1.0,1.0,1.0,1.0,0.17300000000000001,0.82,1,0,0,0,1.2179799999999998,0.161,1.05,0.0,0.04,3,1,0.4
155,HUANUCO,PACHITEA,PANAO,9972,81,9,0.9816326530612244,0.9853515625,0.9166666666666666,1.0,0.17300000000000001,0.82,0,0,0,0,1.2179799999999998,0.48100000000000004,1.9927272727272731,0.0,0.04,1,1,0.8714285714285714
156,HUANUCO,PACHITEA,PANAO,9972,93,10,1.0,1.0,0.9213759213759212,1.0,0.17300000000000001,0.82,0,0,0,0,1.2179799999999998,0.405,3.0,0.0,0.04,1,1,0.9066666666666668
157,HUANUCO,PACHITEA,PANAO,9972,106,11,0.9957924263674616,0.9928603302097276,0.8785942492012779,1.0,0.17300000000000001,0.82,0,0,0,0,1.2179799999999998,0.284,0.3272727272727273,0.0,0.04,1,1,0.8125
158,HUANUCO,PACHITEA,PANAO,9972,132,13,0.9063444108761328,0.8547008547008547,0.6149116064565718,1.0,0.17300000000000001,0.82,0,0,0,0,1.2179799999999998,0.48,0.75,0.0,0.04,1,1,0.4
159,HUANUCO,PACHITEA,PANAO,9972,146,14,1.0,1.0,1.0,1.0,0.17300000000000001,0.82,1,0,0,0,1.2179799999999998,0.3675,0.6230769230769232,0.0,0.04,3,1,0.9466666666666668
160,HUANUCO,PACHITEA,PANAO,9975,7,1,0.9339887640449438,0.9452736318407958,0.6551724137931034,1.0,0.17300000000000001,0.82,1,0,0,0,1.2179799999999998,0.266,2.8736842105263163,0.0,0.04,3,1,1.1428571428571428
161,HUANUCO,PACHITEA,PANAO,9975,10,2,1.0,1.0,1.0,1.0,0.17300000000000001,0.82,1,0,0,0,1.2179799999999998,0.11900000000000001,2.644444444444444,0.0,0.04,3,2,1.8571428571428568
162,HUANUCO,PACHITEA,PANAO,9975,28,5,0.587026709715292,0.56657223796034,0.3636363636363637,1.0,0.17300000000000001,0.82,1,0,0,0,1.2179799999999998,1.4,3.5,0.0,0.04,3,1,1.0285714285714285
