,NOMBREDD,NOMBREPV,NOMBREDI,CONGLOMERADO,NSELUA,UA,percentSoldProduction,percentFarmGateIncomes,percentPlantedArea,districtTimeToLimaMarket,districtTimeToProvinceCapitalOfRegion,provinceCapitalToLimaMarket,informalPriceInformation,formalPriceInformation,informalMetereologicalInformation,formalMetereologicalInformation,volumeOfDistrict,soldProduction,yield,associative,pointsOfSale,marketSize,localMarketChannelDirectedness,farmGatePricePerKg
30,APURIMAC,ANDAHUAYLAS,TALAVERA,14829,68,4,0.9986602682151996,0.9933067502136144,1.0,1.31,0.33299999999999996,1.65,1,1,1,1,0.137992,0.5572,1.5842696629213482,0.0,0.32,2,2.0,1.0555555555555556
31,APURIMAC,ANDAHUAYLAS,TALAVERA,14838,78,13,0.9313022700119474,0.8927282104177411,0.7259100642398287,1.31,0.33299999999999996,1.65,1,1,1,1,0.137992,0.1559,1.2742772861356928,0.0,0.32,2,1.0,2.8341072182355425
32,AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,18893,131,11,0.05725110083910201,0.07623517557292392,0.2083333333333333,1.44,0.012,1.49,0,1,0,1,0.023,0.23,0.0002787878787878788,0.0,9.03,1,2.0,0.5
33,AREQUIPA,AREQUIPA,TIABAYA,18866,36,4,0.26416539050535986,0.1794071762870515,0.1875,1.42,0.037000000000000005,1.49,1,0,0,0,0.0349,0.345,1.1666666666666663,0.0,0.1,3,1.0,0.6
34,AREQUIPA,AREQUIPA,VITOR,18955,28,4,0.38461538461538464,0.4545454545454545,0.5,1.37,0.158,1.49,1,0,0,0,0.305,0.15,0.765,0.0,0.0,1,2.0,0.8
35,AREQUIPA,AREQUIPA,VITOR,18959,41,6,0.38461538461538464,0.3424657534246575,0.5,1.37,0.158,1.49,1,0,0,0,0.305,1.0,2.5,0.0,0.0,1,1.0,0.5
36,AREQUIPA,AREQUIPA,VITOR,18959,47,7,0.15527950310559005,0.143184421534937,0.1851851851851852,1.37,0.158,1.49,0,0,0,0,0.305,1.25,2.5,0.0,0.0,1,1.0,0.5
37,AREQUIPA,AREQUIPA,VITOR,18959,88,11,1.0,1.0,1.0,1.37,0.158,1.49,1,0,0,0,0.305,0.15,2.5,0.0,0.0,2,1.0,0.6
38,AREQUIPA,AREQUIPA,VITOR,18960,51,5,1.0,1.0,1.0,1.37,0.158,1.49,1,1,0,0,0.305,0.3,2.255639097744361,1.0,0.0,1,2.0,1.2
39,AREQUIPA,AREQUIPA,VITOR,18960,99,12,1.0,1.0,0.5,1.37,0.158,1.49,1,1,0,0,0.305,0.2,3.03030303030303,0.0,0.0,1,1.0,0.8
40,AREQUIPA,AREQUIPA,YURA,18839,31,6,0.7616974972796517,0.4796573875802998,0.4,1.49,0.065,1.49,1,1,1,1,0.03777,0.35,3.5,0.0,0.08,1,2.0,0.8
41,AREQUIPA,CARAVELI,ACARI,18504,15,1,0.7058823529411765,0.6753246753246753,0.425,0.7849999999999999,0.843,1.49,1,0,0,0,0.09,0.9,2.647058823529413,0.0,0.0,3,2.0,1.7
42,AREQUIPA,CASTILLA,HUANCARQUI,18645,44,7,0.7538461538461538,0.7373461012311902,0.4917456972251493,1.39,0.33299999999999996,1.49,1,0,0,0,0.317,1.47,1.05,0.0,0.0,3,2.0,1.1
43,AREQUIPA,CASTILLA,HUANCARQUI,18645,62,11,0.7083333333333334,0.6351183063511829,0.5000000000000001,1.39,0.33299999999999996,1.49,1,0,0,0,0.317,1.7,1.0143198090692125,0.0,0.0,2,2.0,0.9
44,AREQUIPA,CASTILLA,MACHAGUAY,18624,43,7,1.0,1.0,1.0,1.5699999999999998,0.52,1.49,1,1,0,0,0.161,0.57,0.5523809523809524,0.0,0.0,3,1.0,1.0
45,AREQUIPA,CASTILLA,MACHAGUAY,18624,50,9,0.25,0.1111111111111111,0.2857142857142857,1.5699999999999998,0.52,1.49,1,1,0,0,0.161,0.4,0.5,0.0,0.0,2,1.0,0.7
46,AREQUIPA,CASTILLA,MACHAGUAY,18624,70,13,1.0,1.0,1.0,1.5699999999999998,0.52,1.49,1,1,0,0,0.161,0.145,0.4833333333333333,0.0,0.0,3,2.0,1.2
47,AREQUIPA,CAYLLOMA,ACHOMA,18730,57,6,0.7741935483870968,0.5783132530120482,0.5714285714285714,1.64,0.327,1.49,0,0,0,1,0.10619,0.12,1.25,0.0,0.0,2,1.0,0.4
48,AREQUIPA,CAYLLOMA,ACHOMA,18731,6,1,1.0,1.0,1.0,1.64,0.327,1.49,0,0,0,0,0.10619,0.4,1.7333333333333332,0.0,0.0,1,2.0,0.8
49,AREQUIPA,CAYLLOMA,HUAMBO,18762,83,9,0.8968609865470852,0.6428571428571429,0.875,1.46,0.37200000000000005,1.49,1,1,1,1,0.032,0.2,8.658008658008658e-05,0.0,0.0,1,2.0,0.9
50,AREQUIPA,CAYLLOMA,HUAMBO,18762,92,10,0.9090909090909092,0.6464646464646465,0.6666666666666666,1.46,0.37200000000000005,1.49,1,1,1,1,0.032,0.12,0.0001818181818181818,0.0,0.0,1,2.0,0.8
51,AREQUIPA,CAYLLOMA,LLUTA,18774,71,10,1.0,1.0,1.0,1.45,0.358,1.49,1,1,1,1,0.0338,0.2,0.25806451612903225,0.0,0.0,1,1.0,1.8
52,AREQUIPA,CAYLLOMA,MACA,18746,21,2,0.3781512605042017,0.72,0.5315755900489049,1.61,0.342,1.49,1,0,0,0,0.043,0.18,0.72,0.0,0.0,1,1.0,0.8
53,AREQUIPA,CAYLLOMA,MAJES,18782,8,2,0.2962962962962963,0.6204081632653061,0.5,1.31,0.188,1.49,1,1,1,1,0.70355,0.4,4.0,0.0,0.79,1,2.0,0.95
54,AREQUIPA,CAYLLOMA,MAJES,18782,13,3,0.375,0.796875,0.5,1.31,0.188,1.49,1,1,0,0,0.70355,0.3,1.5,0.0,0.79,1,2.0,0.85
55,AREQUIPA,CAYLLOMA,MAJES,18782,41,7,0.26936026936026936,0.18045112781954886,0.38461538461538464,1.31,0.188,1.49,1,1,1,1,0.70355,0.6,2.4,0.0,0.79,1,2.0,0.5
56,AREQUIPA,CAYLLOMA,MAJES,18782,50,9,0.7407407407407407,0.27586206896551724,0.5,1.31,0.188,1.49,1,1,1,1,0.70355,0.6,2.4,0.0,0.79,1,2.0,0.8
57,AREQUIPA,CAYLLOMA,MAJES,18782,57,10,0.3806228373702422,0.4885786802030457,0.393939393939394,1.31,0.188,1.49,1,0,0,0,0.70355,0.55,4.615384615384615,0.0,0.79,1,2.0,0.7
58,AREQUIPA,CAYLLOMA,MAJES,18786,62,10,0.3333333333333333,0.4444444444444444,0.6666666666666666,1.31,0.188,1.49,1,0,0,0,0.70355,0.2,1.5,0.0,0.79,1,1.0,0.8
59,AREQUIPA,CAYLLOMA,MAJES,18786,85,13,0.967741935483871,0.906040268456376,0.5,1.31,0.188,1.49,0,0,0,0,0.70355,0.9,3.6,0.0,0.79,1,1.0,0.9
60,AREQUIPA,CAYLLOMA,MAJES,18791,5,1,0.46768060836501896,0.38746937346867344,0.3611111111111111,1.31,0.188,1.49,1,1,1,1,0.70355,0.369,2.8461538461538463,0.0,0.79,1,1.0,0.9
61,AREQUIPA,CAYLLOMA,MAJES,18791,28,4,1.0,1.0,0.5196078431372549,1.31,0.188,1.49,1,1,1,1,0.70355,0.6785,3.2075471698113205,0.0,0.79,1,1.0,0.9
62,AREQUIPA,CAYLLOMA,MAJES,18791,41,7,0.14814814814814814,0.4070096099491238,0.20967741935483872,1.31,0.188,1.49,1,0,0,0,0.70355,0.4,3.0769230769230766,0.0,0.79,2,1.0,0.9
63,AREQUIPA,CAYLLOMA,MAJES,18791,47,8,0.135096497498213,0.20820710548058385,0.14285714285714285,1.31,0.188,1.49,0,0,0,1,0.70355,0.37799999999999995,3.8,0.0,0.79,1,1.0,0.8
64,AREQUIPA,ISLAY,COCACHACRA,18973,28,4,0.6779661016949152,0.6557377049180327,0.2857142857142857,1.42,0.225,1.49,0,0,0,0,0.3045,1.6,1.3333333333333337,0.0,0.06,2,2.0,1.2
65,AREQUIPA,ISLAY,COCACHACRA,18973,42,6,0.3921568627450979,0.6610576923076923,0.5,1.42,0.225,1.49,0,0,0,0,0.3045,0.2,1.05,0.0,0.06,1,2.0,1.1
66,AREQUIPA,ISLAY,COCACHACRA,18973,50,7,0.696798493408663,0.9559179719037624,0.42857142857142855,1.42,0.225,1.49,0,0,0,0,0.3045,0.555,0.7,0.0,0.06,2,2.0,1.6
67,AREQUIPA,ISLAY,COCACHACRA,18973,57,8,0.5194805194805194,0.5194805194805194,0.5,1.42,0.225,1.49,0,0,0,0,0.3045,0.2,1.0,0.0,0.06,1,2.0,1.3
68,AREQUIPA,ISLAY,COCACHACRA,18973,88,13,0.5263157894736842,0.4060913705583756,0.5,1.42,0.225,1.49,0,0,0,0,0.3045,0.25,0.65,0.0,0.06,2,2.0,0.8
69,AREQUIPA,ISLAY,COCACHACRA,18973,91,14,0.75,0.6455696202531646,0.5,1.42,0.225,1.49,0,0,0,0,0.3045,0.24,1.25,0.0,0.06,2,2.0,0.85
70,AREQUIPA,ISLAY,PUNTA DE BOMBON,18991,3,1,0.6870229007633588,0.5194805194805194,0.3714285714285713,1.42,0.258,1.49,0,0,0,0,0.1648,0.45,3.4615384615384617,0.0,0.08,2,2.0,0.8
71,AREQUIPA,ISLAY,PUNTA DE BOMBON,18991,79,8,0.37735849056603776,0.2745995423340961,0.17391304347826084,1.42,0.258,1.49,0,0,0,0,0.1648,0.4,1.0,0.0,0.08,2,1.0,1.2
72,AREQUIPA,ISLAY,PUNTA DE BOMBON,18991,87,10,0.22304832713754646,0.3395061728395062,0.18867924528301888,1.42,0.258,1.49,0,0,0,0,0.1648,0.3,3.0,0.0,0.08,2,2.0,1.1
73,AREQUIPA,ISLAY,PUNTA DE BOMBON,18995,8,1,0.22172452407614784,0.1684389621437686,0.17094017094017094,1.42,0.258,1.49,1,0,0,0,0.1648,0.198,1.0,0.0,0.08,2,1.0,0.8
74,AYACUCHO,CANGALLO,LOS MOROCHUCOS,14116,61,6,0.8349514563106796,0.8302207130730049,0.6363636363636364,0.928,0.117,0.853,1,0,0,0,0.08044,0.43,2.571428571428572,0.0,0.0,3,2.0,1.15
75,AYACUCHO,CANGALLO,LOS MOROCHUCOS,14136,121,12,1.0,1.0,0.7179487179487181,0.928,0.117,0.853,1,0,0,0,0.08044,0.2784,0.4457142857142857,0.0,0.0,3,2.0,0.5
76,AYACUCHO,HUAMANGA,ACOCRO,14038,87,11,0.906515580736544,0.638904734740445,0.339622641509434,1.02,0.183,0.853,1,0,1,0,0.35665,0.16,2.0,0.0,0.0,1,2.0,0.7
77,AYACUCHO,HUAMANGA,ACOCRO,14056,5,1,0.975609756097561,0.8,0.64,1.02,0.183,0.853,0,0,0,0,0.35665,0.128,1.625,0.0,0.0,1,2.0,0.5
78,AYACUCHO,HUAMANGA,ACOCRO,14056,15,2,0.8695652173913043,0.4065573770491803,0.2285714285714286,1.02,0.183,0.853,1,0,1,0,0.35665,0.14,1.75,1.0,0.0,2,2.0,0.9
79,AYACUCHO,HUAMANGA,ACOCRO,14056,41,5,0.9036144578313252,0.5395683453237411,0.7297297297297297,1.02,0.183,0.853,0,0,0,0,0.35665,0.105,0.7777777777777778,0.0,0.0,1,2.0,0.5
80,AYACUCHO,HUAMANGA,ACOCRO,14056,51,6,0.8997361477572561,0.4892395982783357,0.3870967741935484,1.02,0.183,0.853,0,0,0,0,0.35665,0.1705,1.7416666666666665,0.0,0.0,2,2.0,0.5
81,AYACUCHO,HUAMANGA,ACOCRO,14056,70,8,1.0,1.0,1.0,1.02,0.183,0.853,0,0,0,0,0.35665,0.16,1.894736842105264,0.0,0.0,2,2.0,1.605
82,AYACUCHO,HUAMANGA,ACOCRO,14056,98,10,0.9033423667570007,0.5387931034482759,0.5,1.02,0.183,0.853,0,0,0,0,0.35665,0.1,1.2,0.0,0.0,1,2.0,0.5
83,AYACUCHO,HUAMANGA,CHIARA,14033,20,3,0.9975062344139652,0.9933774834437086,0.5454545454545454,0.938,0.087,0.853,1,0,0,0,0.217704,0.4,2.9333333333333327,0.0,0.0,2,2.0,0.3
84,AYACUCHO,HUAMANGA,SAN JOSE DE TICLLAS,13893,54,6,1.0,1.0,0.8842443729903537,0.8550000000000001,0.12300000000000001,0.853,0,0,0,0,0.039,0.115,0.3090909090909091,0.0,0.0,2,2.0,0.6
